,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
156,P1,17/01/2026,18:00,AVS,Arouca,0,1,A,0,1,A,12,18,3,3,11,12,2,3,3,6,1,0,3.0,3.1,2.45
157,P1,17/01/2026,20:30,Rio Ave,Benfica,0,2,A,0,2,A,7,24,1,8,12,8,3,11,1,2,0,0,10.0,5.0,1.27
158,P1,18/01/2026,15:30,Santa Clara,Famalicao,0,1,A,0,0,D,15,7,1,3,17,18,9,2,1,1,0,0,2.82,3.0,2.55
159,P1,18/01/2026,18:00,Tondela,Sp Braga,0,1,A,0,0,D,7,11,2,4,19,14,1,5,3,3,0,1,5.75,3.75,1.56
160,P1,18/01/2026,20:30,Guimaraes,Porto,0,1,A,0,0,D,20,12,3,3,19,15,6,1,4,2,1,0,7.0,4.1,1.45
161,P1,19/01/2026,20:15,Estrela,Estoril,0,5,A,0,1,A,6,11,2,6,16,12,1,4,2,2,1,0,2.7,3.3,2.45
162,P1,23/01/2026,20:15,Casa Pia,AVS,3,3,D,1,0,H,9,27,4,7,15,13,2,11,3,5,0,0,2.01,3.1,4.0
163,P1,24/01/2026,15:30,Moreirense,Santa Clara,1,0,H,0,0,D,3,9,1,1,13,22,5,5,2,2,0,0,2.65,3.0,2.75
164,P1,24/01/2026,18:00,Arouca,Sp Lisbon,1,2,A,0,1,A,11,15,5,4,11,12,4,7,3,4,1,1,12.0,5.5,1.22
165,P1,24/01/2026,20:30,Estoril,Guimaraes,4,2,H,1,2,A,16,13,6,4,9,19,4,2,2,3,0,0,2.35,3.3,2.85
166,P1,25/01/2026,15:30,Nacional,Rio Ave,4,0,H,1,0,H,14,11,5,6,18,6,5,5,3,0,0,0,2.15,3.3,3.3
167,P1,25/01/2026,18:00,Benfica,Estrela,4,0,H,1,0,H,15,4,8,1,10,24,6,1,3,4,0,0,1.1,9.0,19.0
168,P1,25/01/2026,18:00,Famalicao,Tondela,3,0,H,1,0,H,9,2,4,0,9,20,3,4,0,1,0,0,1.56,3.8,5.75
169,P1,25/01/2026,20:30,Sp Braga,Alverca,5,0,H,4,0,H,17,3,7,0,9,11,7,0,2,2,0,0,1.37,4.5,8.0
170,P1,26/01/2026,20:15,Porto,Gil Vicente,3,0,H,1,0,H,14,11,6,5,13,8,11,3,2,3,0,1,1.35,4.5,8.5
171,P1,30/01/2026,20:45,Guimaraes,Moreirense,1,0,H,0,0,D,14,10,2,5,19,12,5,5,2,5,0,0,1.79,3.3,4.75
172,P1,31/01/2026,15:30,Santa Clara,Estoril,2,4,A,0,2,A,14,11,4,6,16,11,6,5,7,3,0,0,2.2,3.0,3.4
173,P1,31/01/2026,18:00,Rio Ave,Arouca,0,3,A,0,1,A,8,18,0,7,11,15,5,5,2,1,0,0,2.5,3.25,2.7
174,P1,31/01/2026,20:30,Alverca,Estrela,1,1,D,0,0,D,8,5,4,2,17,17,9,2,1,2,0,0,2.05,3.1,3.7
175,P1,01/02/2026,15:30,Gil Vicente,Famalicao,5,0,H,1,0,H,17,4,9,0,19,10,3,1,1,1,0,1,2.65,3.1,2.65
