Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
P1,16/01/2023,21:15,Gil Vicente,Guimaraes,2,1,H,1,1,D,9,11,6,2,14,12,3,0,2,4,0,1,2.4,3.1,2.9
P1,20/01/2023,19:00,Arouca,Portimonense,4,0,H,2,0,H,17,3,12,0,9,11,3,7,0,5,0,1,2.4,3.25,2.9
P1,20/01/2023,21:15,Sp Lisbon,Vizela,2,1,H,0,0,D,21,8,8,3,10,8,8,1,2,1,0,0,1.29,5.75,8.5
P1,21/01/2023,15:30,Pacos Ferreira,Sp Braga,1,2,A,0,0,D,11,15,5,10,6,13,4,10,2,4,1,0,6.0,4.5,1.44
P1,21/01/2023,18:00,Santa Clara,Benfica,0,3,A,0,2,A,8,12,1,5,14,13,8,9,1,2,0,0,9.0,5.25,1.29
P1,21/01/2023,20:30,Guimaraes,Porto,0,1,A,0,1,A,9,14,0,2,20,17,3,6,6,4,0,0,7.0,4.75,1.4
P1,22/01/2023,15:30,Maritimo,Estoril,1,0,H,1,0,H,11,11,2,2,21,14,4,5,8,2,1,0,2.5,3.1,3.0
P1,22/01/2023,18:00,Casa Pia,Gil Vicente,1,3,A,0,0,D,14,12,5,7,17,18,6,4,2,1,0,0,2.3,3.25,3.1
P1,22/01/2023,20:30,Famalicao,Rio Ave,0,0,D,0,0,D,19,14,5,2,13,16,4,3,0,3,0,0,2.05,3.3,3.75
P1,23/01/2023,20:15,Boavista,Chaves,1,1,D,1,0,H,18,7,3,3,11,13,11,5,2,4,0,0,2.2,3.4,3.1
P1,26/01/2023,20:15,Pacos Ferreira,Benfica,0,2,A,0,2,A,12,13,3,6,15,19,1,10,0,2,0,0,13.0,6.5,1.2
P1,29/01/2023,15:30,Casa Pia,Santa Clara,2,1,H,0,0,D,19,6,8,3,12,20,8,3,5,4,0,0,2.0,3.2,4.0
P1,29/01/2023,15:30,Vizela,Rio Ave,3,1,H,0,1,A,12,13,7,2,14,15,3,8,4,2,0,1,1.91,3.4,4.0
P1,29/01/2023,18:00,Boavista,Portimonense,4,2,H,0,0,D,18,7,10,3,10,15,7,6,2,2,0,0,2.1,3.3,3.5
P1,29/01/2023,20:30,Famalicao,Estoril,1,0,H,0,0,D,16,16,6,6,15,14,5,7,3,4,0,0,2.05,3.3,3.75
P1,30/01/2023,20:15,Guimaraes,Chaves,2,1,H,1,0,H,18,16,6,4,19,10,7,6,3,3,0,0,1.91,3.4,4.0
P1,31/01/2023,19:00,Pacos Ferreira,Gil Vicente,2,1,H,1,0,H,21,10,8,4,14,12,11,12,2,2,0,0,3.0,3.25,2.38
P1,31/01/2023,21:15,Arouca,Benfica,0,3,A,0,1,A,6,5,0,3,10,11,3,3,3,1,0,0,9.5,4.75,1.33
P1,01/02/2023,19:00,Maritimo,Porto,0,2,A,0,0,D,10,9,2,4,28,15,5,1,6,3,1,1,11.0,5.5,1.25
P1,01/02/2023,21:15,Sp Lisbon,Sp Braga,5,0,H,1,0,H,22,4,9,4,13,13,10,1,1,2,0,1,1.91,3.6,3.75
P1,04/02/2023,15:30,Santa Clara,Boavista,2,2,D,0,1,A,11,6,3,4,13,12,7,7,2,3,0,0,2.7,3.0,2.8
P1,04/02/2023,18:00,Benfica,Casa Pia,3,0,H,2,0,H,16,7,5,0,16,7,4,4,0,1,0,0,1.18,6.5,15.0
P1,04/02/2023,20:30,Estoril,Guimaraes,0,1,A,0,1,A,15,12,4,3,15,23,4,5,1,1,0,0,2.75,2.88,2.9
P1,05/02/2023,15:30,Chaves,Maritimo,2,1,H,2,1,H,5,15,5,3,19,12,3,6,6,5,0,0,2.1,3.2,3.75
P1,05/02/2023,15:30,Sp Braga,Famalicao,4,1,H,1,0,H,14,6,4,1,16,9,6,2,3,3,0,0,1.4,4.75,8.0
P1,05/02/2023,18:00,Porto,Vizela,2,0,H,1,0,H,15,10,4,3,15,9,7,5,2,2,0,0,1.2,6.5,15.0
P1,05/02/2023,20:30,Gil Vicente,Arouca,1,1,D,1,1,D,17,12,7,6,14,10,13,4,2,3,0,0,2.2,3.1,3.3
P1,06/02/2023,19:00,Portimonense,Pacos Ferreira,1,0,H,0,0,D,15,8,3,4,15,16,10,2,1,3,0,1,1.95,3.1,4.2
P1,06/02/2023,21:15,Rio Ave,Sp Lisbon,0,1,A,0,0,D,5,8,1,1,10,14,4,2,1,3,0,0,7.0,4.33,1.5
P1,09/02/2023,18:00,Estoril,Boavista,2,1,H,0,1,A,27,5,13,4,13,15,11,0,2,2,0,1,2.4,3.1,2.88
P1,10/02/2023,20:15,Vizela,Chaves,0,0,D,0,0,D,15,15,4,5,14,15,5,6,3,3,0,0,1.7,3.5,5.0
P1,11/02/2023,18:00,Arouca,Santa Clara,1,0,H,0,0,D,9,4,4,0,18,11,3,3,2,4,0,0,2.05,3.3,3.5
P1,11/02/2023,20:30,Guimaraes,Portimonense,1,0,H,1,0,H,9,8,4,3,19,13,5,2,2,2,0,0,1.8,3.5,4.2
P1,12/02/2023,15:30,Famalicao,Gil Vicente,0,1,A,0,0,D,16,16,3,3,17,24,4,6,1,6,0,0,2.1,3.3,3.3
P1,12/02/2023,18:00,Sp Lisbon,Porto,1,2,A,0,0,D,15,10,5,3,11,12,8,4,4,1,0,0,2.6,3.25,2.55
P1,12/02/2023,20:30,Maritimo,Sp Braga,1,2,A,1,2,A,18,9,6,3,10,15,5,5,3,3,1,0,5.5,4.0,1.57
P1,13/02/2023,19:00,Rio Ave,Estoril,2,0,H,0,0,D,10,16,3,3,26,15,2,9,4,2,0,0,2.2,3.1,3.4
