,PH-PA,TH-TA,DGH-DGA,WH-WA,GFH-GFA,MGFH+MGFA,GCH-GCA,MGCH+MGCA,MGFH+MGCA,MGCH+MGFA,GFH-GCA,GCH-GFA,FOH-FOA,FDH-FDA,MFOH+MFOA,MFDH+MFDA,FOH-FDA,FDH-FOA,MFOH+MFDA,MFDH+MFOA,DSH-DSA,MDSH+MDSA,PRT,GLS,R
1732,-115.46345433987392,-17,-34.0,0.0,-2.0,3.2727272727272725,2.0,2.3636363636363633,2.6363636363636362,3.0,5.0,-5.0,-10.80407180538759,-13.266017316017317,4.300712086956106,-0.6246294109930474,15.054333678017889,-39.124422799422796,1.9499479521010623,1.7261347238619964,1,1.0,0,2.0,-1
1733,27.11924645863587,3,13.0,2.0,5.0,1.9090909090909092,-6.0,3.2727272727272725,3.090909090909091,2.090909090909091,-8.0,7.0,10.171666980362629,1.4547979797979789,3.4630243713247664,-1.6528171323625869,33.950360750360744,-22.32389579020014,1.3013249376885738,0.5088823012736058,0,1.0909090909090908,0,3.0,1
1734,12.562952408666433,1,-12.0,2.0,3.0,2.090909090909091,2.0,3.4545454545454546,2.8181818181818183,2.727272727272727,-5.0,10.0,7.249858474858476,-14.11868686868687,3.333732176913995,-2.781477108749836,30.199236874236874,-37.06806526806527,1.2474250496977768,-0.6951699815336179,1,0.8181818181818181,0,1.0,-1
1735,258.77785279002455,34,56.0,5.0,20.0,4.7272727272727275,-7.0,2.090909090909091,4.636363636363637,2.1818181818181817,21.0,-8.0,18.30377057582941,22.641630591630594,5.614341525972543,-1.1290108881017973,57.56113886113887,-16.615737693678867,2.0454898636716825,2.439840774199063,-2,0.5454545454545454,1,4.0,1
1736,-15.904434437832265,1,4.0,2.5,9.0,1.4469696969696968,1.0,2.696969696969697,2.446969696969697,1.6969696969696968,-2.0,12.0,1.9528421741657027,1.1551587301587318,2.3428668504203265,-1.2534492653810836,22.2110686698922,-19.103067765567765,0.5012098962633721,0.5882076887758707,1,1.303030303030303,1,3.0,-1
1737,-154.4101318476046,-21,-38.0,-2.5,-12.0,2.1818181818181817,3.0,2.6363636363636367,1.7272727272727273,3.090909090909091,-7.0,-2.0,-17.874920422714546,-10.531962481962482,3.569532317059055,-0.9622392758756396,10.721302308802308,-39.128185213479334,0.9698757051029777,1.637417336080438,0,0.7272727272727273,-1,2.0,-1
1738,19.582807603973038,2,-3.0,1.5,5.0,1.4545454545454546,1.0,2.7727272727272725,2.2727272727272725,1.9545454545454546,-4.0,10.0,5.538704604648872,-7.46976911976912,3.395902546026385,-2.060399776990686,27.305373393376485,-29.236437908496733,1.4171144743238746,-0.08161170528817552,-4,1.509090909090909,-1,3.0,1
1739,-36.61946927354279,-7,-13.0,1.5,7.0,3.909090909090909,3.0,1.7272727272727273,3.0,2.6363636363636367,17.0,-7.0,-2.266277324326861,-8.157647907647906,5.119181400267806,0.15233503869867515,22.105692372642835,-32.529617604617606,2.903547791452379,2.367968647514102,2,0.7272727272727273,0,4.0,0
1740,120.15120971722365,19,36.0,4.5,9.0,2.909090909090909,-16.0,2.901515151515152,3.9924242424242427,1.8181818181818183,-4.0,-3.0,7.977681949972975,15.323268398268398,4.545602940804179,-1.1944064563382746,44.752824463118586,-21.45187411487721,1.4810077313753787,1.8701887530905261,-2,0.8636363636363636,0,2.0,0
1741,92.3520541242425,16,23.0,3.5,3.0,3.25,-11.0,2.25,3.333333333333333,2.1666666666666665,2.0,-10.0,5.502322677322681,12.863095238095237,4.730604811854812,-0.21081349206349215,38.83121878121878,-20.465800865800865,1.9531968031968032,2.5665945165945163,-2,0.8333333333333333,0,0.0,0
1742,-41.58056251465041,-12,-13.0,-1.5,3.0,2.0833333333333335,7.0,2.583333333333333,2.166666666666667,2.5,2.0,8.0,-4.043505106005105,-13.121561771561774,2.6630412411662414,-0.1847453472453474,8.504186091686092,-25.669252969252973,1.617400308025308,0.8608955858955857,0,1.1666666666666667,1,1.0,1
1743,-7.310894977395606,2,-2.0,2.5,-3.0,1.8333333333333335,-13.0,3.083333333333333,2.8333333333333335,2.083333333333333,-16.0,0.0,-9.16473878643753,2.531709956709957,2.9422876874350825,-2.03522126022126,27.977070393374742,-34.61009922310232,0.08522544283413858,0.8218409843796838,-1,1.0384615384615383,0,5.0,-1
1744,34.541543014119384,6,11.0,1.0,2.0,1.3333333333333335,-4.0,2.666666666666667,2.25,1.75,-9.0,7.0,4.587058774558775,3.7361832611832613,2.1647494866244865,-1.5039231601731604,26.1736568986569,-17.850414862914864,0.3658663096163096,0.2949600168350167,0,0.6666666666666666,0,2.0,0
1745,94.97097906287263,14,30.0,4.5,14.0,2.5,-10.0,2.5,3.5,1.5,2.0,2.0,12.15134071295062,10.792135642135642,4.0545918220066826,-0.820400432900433,40.72169170698582,-17.778215351899565,1.6737292391704157,1.5604621499358342,-1,0.9166666666666667,1,4.0,1
1746,-3.216574952724386,5,2.0,1.5,7.0,1.8030303030303032,8.0,3.4545454545454546,2.621212121212121,2.6363636363636362,-2.0,17.0,7.845433814551459,-9.189357864357865,3.3048659265571025,-2.175578293760112,31.15134375428493,-32.495267804091334,1.1861468411267873,-0.05685920832979652,-4,1.0606060606060606,-1,4.0,0
1747,-49.11518429844284,-7,-4.0,1.5,5.0,1.25,2.0,2.5,2.0,1.75,-4.0,11.0,3.1728917324505588,-3.6638888888888888,2.3313148112780464,-0.9928300865800865,19.699370808929636,-20.190367965367965,0.9541082215714569,0.38437650312650307,2,1.5,1,2.0,1
1748,-116.47155427433268,-18,-24.0,-0.5,1.0,2.25,1.0,2.916666666666667,2.5833333333333335,2.583333333333333,-3.0,5.0,-13.693470150420612,-4.863275613275616,3.7626039940165326,-1.0009920634920635,19.303203463203463,-37.85994922689969,1.012881192881193,1.748730737643276,0,1.0,0,3.0,1
1749,-90.20635885572938,-18,-26.0,-2.0,-4.0,3.8333333333333335,-1.0,0.9166666666666667,2.25,2.5,15.0,-20.0,-5.610383596451719,-8.025649350649351,6.537595313756306,0.2525162337662339,30.892458006389894,-44.528490953490966,3.4956918468528375,3.294419700669702,6,0.8333333333333333,0,7.0,1
1750,196.01855664403524,27,53.0,6.5,14.0,2.8333333333333335,-22.0,2.8333333333333335,4.333333333333334,1.3333333333333335,-4.0,-4.0,8.595496170496165,27.05501443001443,4.376367382617382,-1.4855489417989418,52.996753246753244,-17.346242646242647,0.6762626262626257,2.2145558145558146,0,0.8333333333333334,1,3.0,1
1751,46.55873737505385,14,23.0,5.5,21.0,2.75,-3.0,2.4166666666666665,3.583333333333333,1.5833333333333333,11.0,7.0,15.150074671630398,2.4795537795537834,3.755255371635016,-0.9305537055537056,36.92966868872442,-19.300040237540237,1.9402892035438475,0.8844124625374628,-1,1.0833333333333335,1,5.0,1
1752,-161.74756790472975,-24,-37.0,-1.5,-8.0,2.666666666666667,5.0,2.0833333333333335,1.8333333333333335,2.916666666666667,2.0,-5.0,-18.73334720834721,-11.753241203241203,3.6280194342694343,0.11244357494357493,5.85016095016095,-36.33674936174936,1.5793937543937542,2.161069254819255,3,1.0833333333333333,-1,4.0,-1
