,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
352,1.0,1.3,1.9,1.3,0.0,0.0,1.4,2.8,4.6,4.2,4.2,3.6,10.5,11.5,0,2,-1,0,1,1,0,0,0
353,1.8,0.8,0.9,1.6,0.1,0.0,1.5,1.3,4.9,5.3,5.2,3.6,8.9,10.4,1,2,1,0,1,1,0,0,0
354,0.8,1.8,1.4,0.8,0.1,0.0,1.9,1.3,5.3,5.4,4.7,5.3,9.8,9.2,0,3,1,0,1,1,1,0,0
355,2.8,1.8,1.3,1.7,0.0,0.0,0.9,1.4,7.0,4.7,6.5,5.1,9.6,11.5,0,3,-1,0,1,1,1,0,0
356,1.2,1.5,1.4,1.6,0.1,0.0,1.4,1.5,3.5,5.6,4.2,5.3,11.0,10.7,0,3,-1,0,1,1,1,0,0
357,1.9,1.8,0.7,1.7,0.1,0.0,1.5,1.4,8.2,4.7,5.8,5.1,10.9,11.5,1,5,-1,1,1,1,1,1,1
358,1.9,1.2,1.3,1.5,0.1,0.0,2.2,1.4,6.2,3.7,6.1,3.3,11.9,9.7,0,4,0,1,1,1,1,1,0
359,1.1,1.2,1.5,1.7,0.0,0.0,1.6,2.3,4.3,4.3,3.8,5.1,10.7,11.2,0,1,-1,0,1,0,0,0,0
360,1.6,1.0,1.5,1.4,0.1,0.1,1.4,2.4,5.6,4.5,4.3,3.6,10.2,12.0,0,4,1,1,1,1,1,1,0
361,2.4,0.9,0.9,1.3,0.1,0.1,1.5,2.3,6.8,3.9,5.9,3.3,10.6,11.9,0,2,1,1,1,1,0,0,0
362,1.0,0.9,1.1,1.6,0.2,0.1,2.4,2.2,5.3,3.9,3.9,3.3,11.9,11.1,0,2,-1,1,1,1,0,0,0
363,1.4,1.8,1.3,0.9,0.0,0.0,2.6,1.8,2.6,4.7,3.7,4.3,12.0,10.0,1,1,-1,0,1,0,0,0,0
364,1.4,1.2,1.3,2.2,0.0,0.1,1.0,2.4,5.6,4.7,4.1,3.4,8.6,11.7,1,4,1,1,1,1,1,1,0
365,1.9,0.9,1.1,1.9,0.0,0.0,1.7,2.5,7.5,3.6,7.1,3.3,10.9,12.1,1,4,-1,1,1,1,1,1,0
366,3.2,0.9,0.9,1.5,0.1,0.1,1.0,2.1,7.3,4.8,6.2,4.3,9.1,10.6,1,1,-1,0,1,0,0,0,0
367,1.9,1.5,0.7,2.2,0.1,0.0,1.5,1.6,8.2,3.6,5.8,3.8,10.9,10.6,0,0,1,0,0,0,0,0,0
